PNR,Complaint,Department
,Train arrived late but no prior message was received,Operations & Scheduling
,Seats tuti hui thi sleeper coach me comfort zero tha,Technical Maintenance (Coach)
,Train late thi par koi update nahi mila app bhi kaam nahi kar raha tha,Operations & Scheduling
,Buzurg passengers ko help nahi ki gayi staff bas dekhte rahe,Staff Behavior & Customer Service
,Only one inquiry counter open at Kolkata crowd mismanagement,Station Management & Infrastructure
,Food vendor ne extra paisa maanga aur bill dene se mana kar diya,Catering & Food Quality
,Public announcement system not functioning properly at Nagpur,Operations & Scheduling
,No dustbins available on the platform at Howrah,Station Management & Infrastructure
,Platform ke lights blink kar rahe the Howrah pe maintenance zero,Technical Maintenance (Coach)
,Bedding bahut ganda tha 2AC coach me koi dhyan nahi deta,Cleanliness & Housekeeping
,Only one inquiry counter open at Guwahati crowd mismanagement,Station Management & Infrastructure
,Train beech raste me 45 minutes ke liye ruk gayi reason bhi nahi bataya,Operations & Scheduling
,No dustbins available on the platform at Jaipur,Station Management & Infrastructure
,Announcement system band tha Jaipur pe train ka status nahi mila,Operations & Scheduling
,Samaan chori ho gaya aur RPF ne time pe help nahi ki,Security & Rpf
,Bedding in AC coach was not clean and had stains,Cleanliness & Housekeeping
,Staff behaved rudely when asked for assistance very unprofessional,Staff Behavior & Customer Service
,Train beech raste me 45 minutes ke liye ruk gayi reason bhi nahi bataya,Operations & Scheduling
,Train late thi par koi update nahi mila app bhi kaam nahi kar raha tha,Operations & scheduling
,AC in my coach was not working properly during the journey from Delhi,Technical Maintenance (Coach)
,Samaan chori ho gaya aur RPF ne time pe help nahi ki,Security & Rpf
,Only one inquiry counter open at Howrah crowd mismanagement,Station Management & Infrastructure
,The food served in the pantry car was cold and of poor quality,Catering & Food Quality
,Coach ka toilet bahut ganda tha bilkul maintain nahi kiya gaya,Cleanliness & Housekeeping
,Buzurg passengers ko help nahi ki gayi staff bas dekhte rahe,Staff Behavior & Customer Service
,No dustbins available on the platform at Secunderabad,Station Management & Infrastructure
,Platform ke lights blink kar rahe the Secunderabad pe maintenance zero,Technical Maintenance (Coach)
,Train arrived late but no prior message was received,Operations & Scheduling
